Title,Genre,Author,Quantity,Price
896,Ojitos Lindos,Bad Bunny,https://www.deezer.com/track/1741494417,258,Un Verano Sin Ti,false
897,PROVENZA,KAROL G,https://www.deezer.com/track/1721634237,210,PROVENZA,false
